ID,Fruta,Cantidad,Precio,Fecha
710,Mango,17,4.17,2024-06-05
711,Manzana,90,8.69,2025-11-06
712,Banano,9,1.33,2026-03-04
713,Banano,84,4.23,2026-05-11
714,Melón,5,12.1,2024-09-03
715,Uva,17,4.05,2024-10-23
716,Banano,63,14.6,2024-10-30
717,Banano,55,12.8,2026-04-21
718,Melón,28,14.1,2026-04-28
719,Frutilla,66,9.2,2024-07-17
720,Naranja,61,2.08,2025-09-30
721,Piña,37,4.78,2025-06-28
722,Uvilla,63,1.22,2024-09-05
723,Uvilla,37,13.49,2024-10-14
724,Uvilla,47,4.85,2026-05-06
725,Frutilla,78,6.59,2024-07-29
726,Naranja,79,10.66,2025-03-19
727,Piña,43,1.59,2024-07-05
728,Uvilla,40,4.01,2026-04-20
729,Melón,4,13.15,2024-11-25
730,Naranja,16,11.25,2024-10-10
731,Uva,4,4.99,2026-02-22
732,Naranja,58,14.08,2024-10-12
733,Manzana,89,9.34,2025-05-27
734,Banano,35,6.86,2025-06-16
735,Mango,75,7.87,2024-06-04
736,Pera,12,11.14,2025-06-08
737,Pera,64,9.65,2025-04-07
738,Manzana,99,6.36,2024-08-19
739,Mango,73,4.34,2025-06-08
740,Naranja,41,11.96,2025-08-31
741,Uvilla,25,12.99,2024-05-30
742,Frutilla,72,8.85,2025-12-18
743,Frutilla,20,4.42,2024-09-29
744,Uvilla,28,5.2,2026-03-01
745,Melón,4,13.23,2025-06-10
746,Piña,14,3.73,2024-09-15
747,Uva,30,11.8,2025-03-07
748,Mango,15,5.6,2024-12-21
749,Frutilla,35,13.19,2026-03-29
750,Pera,42,14.18,2025-01-29
751,Mango,77,4.3,2025-12-28
752,Mango,40,9.45,2025-10-30
753,Melón,94,9.82,2026-05-14
754,Mango,80,3.76,2025-12-04
755,Banano,50,8.14,2026-04-23
756,Banano,5,11.15,2025-04-28
757,Mango,40,1.94,2026-03-16
758,Uvilla,79,13.57,2024-10-01
759,Banano,71,9.92,2025-08-24
760,Manzana,95,14.86,2025-11-28
761,Piña,49,13.78,2024-06-20
762,Uvilla,58,7.82,2024-08-06
763,Manzana,13,6.68,2024-10-30
764,Manzana,47,7.08,2024-08-23
765,Banano,62,3.94,2025-07-03
766,Uva,8,12.63,2024-11-18
767,Piña,24,7.22,2025-08-08
768,Frutilla,12,4.92,2024-06-04
769,Pera,99,11.06,2024-09-30
770,Manzana,40,9.98,2025-11-23
771,Naranja,61,0.66,2025-11-01
772,Melón,52,8.93,2025-07-23
773,Pera,61,6.6,2026-01-25
774,Piña,11,10.01,2024-12-09
775,Naranja,3,4.26,2025-07-06
776,Manzana,78,10.66,2025-06-05
777,Naranja,57,14.7,2026-05-25
778,Naranja,73,13.78,2025-03-31
779,Frutilla,79,10.79,2024-06-19
780,Melón,23,5.95,2026-03-10
781,Manzana,39,13.63,2024-10-24
782,Uva,34,12.29,2026-01-18
783,Frutilla,14,3.36,2026-04-20
784,Uvilla,99,11.7,2025-01-23
785,Melón,27,14.22,2026-05-10
786,Melón,33,1.74,2024-07-02
787,Uva,13,3.28,2026-02-10
788,Uva,14,13.96,2025-05-23
789,Banano,56,10.86,2025-02-14
790,Banano,55,1.11,2025-05-07
791,Naranja,9,12.44,2026-02-14
792,Uvilla,90,3.7,2026-05-15
793,Banano,3,4.22,2025-10-10
794,Banano,74,1.79,2025-12-19
795,Melón,93,2.53,2024-08-19
796,Uvilla,99,1.35,2024-12-08
797,Naranja,16,7.77,2025-06-23
798,Naranja,88,8.82,2025-01-26
799,Piña,86,2.12,2025-02-28
800,Banano,76,7.86,2025-09-03
801,Mango,93,12.18,2024-09-22
802,Frutilla,53,12.64,2024-09-05
803,Piña,62,11.38,2026-01-20
804,Pera,15,9.52,2025-05-20
805,Naranja,1,1.59,2025-03-04
806,Piña,22,13.13,2024-08-24
807,Uva,13,1.76,2024-12-17
808,Naranja,35,10.58,2025-09-08
809,Frutilla,2,12.27,2024-06-09
810,Piña,30,2.71,2025-05-13
811,Uva,72,4.49,2024-10-25
812,Uva,19,2.57,2024-09-26
813,Mango,14,4.76,2024-09-19
814,Mango,99,13.53,2025-05-24
815,Melón,98,7.26,2025-09-11
816,Manzana,60,6.24,2025-12-10
817,Pera,86,1.77,2024-08-07
818,Banano,13,5.08,2024-08-16
819,Banano,29,1.0,2025-11-29
820,Pera,30,8.02,2024-09-05
821,Uva,85,12.66,2024-06-06
822,Manzana,98,8.54,2025-12-30
823,Melón,58,3.99,2025-08-02
824,Uva,15,13.03,2025-07-04
825,Pera,88,13.57,2025-05-17
826,Melón,77,13.55,2024-07-24
827,Naranja,63,5.49,2025-09-22
828,Banano,61,5.81,2025-11-17
829,Frutilla,46,2.59,2024-06-02
830,Pera,53,5.74,2026-05-04
831,Manzana,54,1.78,2024-11-09
832,Melón,32,6.28,2025-01-16
833,Piña,50,9.79,2026-02-08
834,Naranja,66,10.98,2025-08-28
835,Piña,59,12.94,2025-11-02
836,Mango,61,7.63,2025-11-12
837,Manzana,80,11.93,2024-12-25
838,Naranja,40,3.41,2026-05-27
839,Melón,10,3.69,2025-02-14
840,Uva,90,2.22,2026-05-12
841,Melón,91,13.13,2025-04-24
842,Banano,73,4.52,2026-04-29
843,Mango,99,7.18,2024-08-23
844,Banano,17,11.75,2024-07-21
845,Uva,28,8.95,2025-02-08
846,Pera,15,11.14,2026-01-20
847,Manzana,100,6.59,2024-10-19
848,Banano,23,8.68,2025-10-16
849,Mango,56,12.1,2024-11-08
850,Mango,37,11.09,2025-06-13
851,Manzana,86,7.2,2024-06-01
852,Naranja,13,8.13,2024-12-29
853,Manzana,59,4.79,2025-12-03
854,Melón,24,0.51,2026-05-17
855,Manzana,55,9.51,2024-06-17
856,Uvilla,46,4.36,2024-07-12
857,Manzana,20,3.28,2026-01-10
858,Pera,36,3.53,2025-12-21
859,Mango,98,6.42,2025-06-15
860,Pera,50,2.38,2026-02-06
861,Mango,24,0.75,2025-10-26
862,Manzana,75,3.56,2025-06-18
863,Manzana,63,6.73,2026-04-07
864,Uva,97,12.75,2024-11-29
865,Pera,28,4.27,2025-02-02
866,Melón,99,1.32,2025-06-07
867,Uva,79,11.27,2024-06-08
868,Uvilla,52,6.96,2025-05-26
869,Melón,79,3.56,2025-10-22
870,Banano,45,5.55,2024-06-01
871,Frutilla,91,3.5,2026-05-20
872,Banano,76,5.79,2024-05-27
873,Banano,43,10.45,2024-11-02
874,Uva,25,5.41,2025-03-19
875,Uva,54,7.11,2026-05-09
876,Naranja,11,12.75,2025-03-07
877,Melón,17,5.4,2025-10-08
878,Mango,91,3.09,2024-10-06
879,Piña,27,7.46,2024-11-15
880,Banano,4,12.27,2025-08-29
881,Naranja,61,10.87,2024-12-02
882,Piña,32,1.52,2025-01-14
883,Uvilla,77,1.36,2024-08-24
884,Manzana,40,1.66,2025-11-17
885,Pera,37,3.93,2025-08-11
886,Manzana,67,7.74,2025-09-15
887,Piña,83,9.62,2026-04-13
888,Manzana,63,11.17,2026-04-06
889,Pera,50,14.81,2025-12-18
890,Piña,60,9.46,2026-02-13
891,Melón,83,5.41,2025-07-01
892,Melón,43,12.43,2024-06-10
893,Piña,53,14.38,2025-07-26
894,Piña,97,9.73,2025-10-22
895,Melón,92,5.14,2025-07-04
896,Frutilla,3,6.7,2025-11-20
897,Uva,46,14.45,2026-01-04
898,Naranja,41,4.32,2025-12-28
899,Manzana,20,12.18,2025-11-04
900,Mango,47,11.94,2024-11-30
901,Uvilla,75,3.93,2025-01-24
902,Mango,2,6.17,2026-03-14
903,Banano,88,8.89,2025-12-16
904,Mango,49,8.59,2024-05-31
905,Manzana,42,4.07,2025-01-30
906,Manzana,34,7.64,2025-01-15
907,Uvilla,52,10.62,2024-11-30
908,Pera,59,3.0,2024-09-11
909,Pera,22,8.01,2025-08-17
910,Manzana,100,14.0,2024-12-10
911,Melón,34,5.82,2025-04-21
912,Banano,14,2.9,2024-11-29
913,Uvilla,57,12.66,2025-05-02
914,Pera,84,8.76,2024-10-28
915,Banano,15,5.87,2024-11-16
916,Naranja,29,4.42,2025-02-18
917,Melón,99,14.16,2024-09-28
918,Melón,64,8.52,2025-02-11
919,Uvilla,83,7.14,2024-09-09
920,Uva,37,8.17,2026-02-21
921,Uva,35,12.15,2026-01-20
922,Melón,99,8.31,2024-05-31
923,Uva,58,1.09,2025-06-25
924,Mango,28,0.52,2024-11-20
925,Uvilla,96,10.2,2024-09-17
926,Banano,60,10.23,2026-03-11
927,Uvilla,94,6.33,2025-06-01
928,Uvilla,99,12.92,2025-03-04
929,Uvilla,29,14.01,2024-08-23
930,Frutilla,72,7.12,2025-08-04
931,Naranja,42,3.83,2025-02-24
932,Piña,50,5.0,2024-11-28
933,Banano,94,2.72,2026-04-07
934,Manzana,86,7.92,2025-06-10
935,Mango,71,11.83,2025-12-07
936,Pera,94,10.48,2024-08-30
937,Uvilla,12,5.88,2026-05-20
938,Naranja,78,8.0,2025-10-05
939,Melón,96,6.13,2025-07-18
940,Frutilla,56,4.95,2025-06-27
941,Uva,36,5.18,2025-04-18
942,Frutilla,37,9.97,2025-08-13
943,Banano,7,6.64,2025-11-05
944,Frutilla,3,4.57,2025-08-30
945,Uvilla,28,12.65,2025-12-25
946,Manzana,21,5.7,2025-03-07
947,Banano,8,8.6,2025-04-20
948,Melón,88,8.54,2026-05-20
949,Piña,68,2.15,2024-11-22
950,Uvilla,12,11.64,2024-07-26
951,Banano,21,9.27,2024-06-16
952,Uva,5,12.72,2024-07-18
953,Mango,66,13.54,2025-12-02
954,Manzana,25,11.7,2026-02-20
955,Uva,32,1.24,2024-10-04
956,Melón,62,1.4,2024-08-05
957,Piña,71,14.91,2025-07-22
958,Banano,34,5.81,2025-10-21
959,Banano,70,10.15,2025-05-09
960,Uva,80,13.08,2024-09-10
961,Mango,32,12.19,2025-05-18
962,Mango,78,7.53,2024-07-22
963,Mango,15,8.61,2025-07-23
964,Piña,53,5.4,2025-09-07
965,Melón,9,5.17,2026-04-13
966,Uva,20,3.16,2024-08-27
967,Melón,8,10.57,2025-07-25
968,Mango,98,7.94,2024-09-01
969,Banano,38,14.13,2026-05-14
970,Manzana,98,0.91,2024-11-08
971,Mango,69,10.65,2026-04-28
972,Mango,38,8.05,2024-07-24
973,Naranja,15,4.49,2024-12-18
974,Banano,66,2.51,2025-07-02
975,Frutilla,69,14.62,2025-04-21
976,Melón,53,1.23,2025-06-20
977,Uvilla,99,6.32,2025-06-21
978,Manzana,86,6.54,2026-03-14
979,Naranja,69,5.76,2025-01-05
980,Mango,43,3.8,2024-08-11
981,Frutilla,59,8.03,2025-03-31
982,Piña,75,11.16,2024-10-04
983,Uvilla,54,11.51,2025-05-21
984,Naranja,16,13.49,2025-09-20
985,Mango,35,6.04,2024-10-22
986,Uvilla,9,13.53,2024-07-17
987,Banano,18,0.56,2025-02-17
988,Frutilla,26,12.1,2025-11-18
989,Uvilla,56,11.4,2025-06-23
990,Frutilla,100,3.68,2025-03-24
991,Pera,85,3.96,2024-07-02
992,Mango,81,13.61,2024-10-26
993,Banano,19,10.91,2025-08-13
994,Piña,43,6.33,2025-09-23
995,Mango,89,12.0,2026-01-21
996,Manzana,73,14.71,2025-02-22
997,Pera,7,2.28,2026-05-24
998,Mango,49,4.04,2025-09-09
999,Uva,74,8.38,2025-11-05
1000,Banano,14,3.6,2025-04-12
1001,Naranja,95,7.39,2025-01-02
1002,Naranja,98,13.64,2024-09-25
1003,Banano,77,5.8,2024-08-31
1004,Mango,47,13.69,2026-03-12
1005,Manzana,27,13.99,2025-06-25
1006,Pera,61,9.17,2025-07-18
1007,Piña,73,12.82,2025-08-03
1008,Banano,92,9.36,2025-01-04
1009,Banano,5,7.31,2025-07-09
1010,Mango,80,2.1,2024-06-26
1011,Uva,78,7.57,2025-10-09
1012,Piña,50,13.96,2026-05-27
1013,Uvilla,63,5.28,2026-03-29
1014,Uva,81,10.09,2025-11-04
1015,Banano,99,6.09,2025-12-18
1016,Pera,28,13.72,2024-11-17
1017,Mango,89,1.48,2025-11-09
1018,Naranja,81,8.12,2025-05-10
1019,Frutilla,15,8.08,2025-08-26
1020,Mango,24,12.87,2025-07-01
1021,Piña,36,13.55,2024-07-03
1022,Naranja,86,4.1,2024-06-18
1023,Uvilla,98,10.23,2025-05-16
1024,Mango,85,10.13,2024-12-10
1025,Pera,21,5.91,2026-01-31
1026,Naranja,60,1.51,2025-02-08
1027,Pera,63,11.86,2024-11-26
1028,Frutilla,63,6.12,2025-04-24
1029,Naranja,71,10.45,2024-08-04
1030,Banano,90,1.79,2026-02-13
1031,Pera,39,13.49,2024-12-06
1032,Uvilla,22,2.58,2024-09-17
1033,Uva,37,10.57,2026-04-07
1034,Uvilla,82,11.86,2025-08-05
1035,Piña,5,5.0,2025-09-01
1036,Frutilla,26,2.7,2025-10-17
1037,Pera,80,4.58,2025-05-09
1038,Pera,86,7.74,2026-05-24
1039,Uvilla,6,7.37,2026-05-12
1040,Piña,97,13.74,2025-07-10
1041,Pera,95,14.53,2024-10-30
1042,Banano,26,8.83,2026-05-01
1043,Melón,8,7.35,2025-06-23
1044,Manzana,15,10.8,2025-03-01
1045,Pera,96,9.68,2025-07-05
1046,Piña,31,11.88,2026-02-13
1047,Melón,30,1.47,2024-05-31
1048,Frutilla,97,2.54,2025-02-18
1049,Pera,58,5.68,2025-07-08
1050,Manzana,56,3.96,2025-10-17
1051,Piña,72,3.47,2025-12-08
1052,Naranja,24,13.11,2025-09-02
1053,Naranja,80,8.28,2025-02-06
1054,Uvilla,29,2.4,2026-02-25
1055,Manzana,39,9.29,2025-12-18
1056,Uvilla,98,1.65,2024-12-31
1057,Frutilla,85,7.81,2025-10-25
1058,Melón,48,1.86,2025-03-14
1059,Piña,22,1.8,2025-06-05
1060,Melón,34,13.24,2024-11-16
1061,Manzana,89,4.22,2025-02-20
1062,Manzana,11,6.85,2025-04-03
1063,Piña,60,4.05,2025-04-14
1064,Uva,42,12.58,2025-06-19
1065,Uva,83,7.19,2025-11-22
1066,Uva,44,10.21,2025-02-01
1067,Uva,79,7.87,2024-09-22
1068,Frutilla,62,9.62,2026-04-25
1069,Melón,82,8.98,2026-05-03
1070,Banano,100,8.91,2024-11-29
1071,Piña,47,4.26,2025-06-21
1072,Naranja,76,2.02,2025-01-04
1073,Melón,28,4.73,2024-12-24
1074,Mango,92,11.1,2024-07-11
1075,Piña,20,8.26,2024-12-19
1076,Uva,37,10.44,2025-07-11
1077,Banano,62,14.94,2024-08-01
1078,Naranja,59,14.66,2025-02-12
1079,Banano,79,11.37,2025-03-28
1080,Frutilla,81,2.78,2024-11-27
1081,Uva,62,9.24,2025-12-14
1082,Mango,12,12.81,2024-07-22
1083,Piña,79,6.08,2026-01-12
1084,Piña,38,4.51,2025-07-14
1085,Manzana,56,11.43,2025-07-31
1086,Uva,94,9.53,2025-12-31
1087,Melón,89,14.86,2025-03-29
1088,Uvilla,86,3.94,2026-04-25
1089,Naranja,54,9.93,2026-04-03
1090,Pera,42,14.79,2025-01-09
1091,Pera,13,14.23,2026-02-19
1092,Uvilla,93,0.93,2024-05-30
1093,Frutilla,77,9.63,2024-11-08
1094,Mango,48,11.4,2025-09-15
1095,Naranja,56,12.23,2025-10-23
1096,Naranja,81,1.06,2024-07-31
1097,Mango,2,7.51,2026-04-23
1098,Frutilla,11,9.43,2024-12-07
1099,Melón,11,2.85,2024-06-27
1100,Uvilla,14,0.59,2025-07-07
1101,Uvilla,72,13.98,2025-11-26
1102,Manzana,7,10.4,2025-08-04
1103,Frutilla,13,9.51,2025-07-05
1104,Naranja,5,1.43,2026-03-28
1105,Pera,28,3.53,2025-04-15
1106,Uvilla,69,0.94,2026-02-26
1107,Pera,13,13.91,2026-01-06
1108,Piña,17,14.61,2026-01-07
1109,Mango,85,1.66,2026-02-25
1110,Banano,8,9.27,2024-10-28
1111,Banano,98,8.97,2025-02-19
1112,Melón,80,8.71,2024-10-02
1113,Melón,54,9.8,2025-04-04
1114,Uvilla,72,5.37,2025-01-12
1115,Mango,30,1.7,2026-03-27
1116,Mango,62,2.03,2024-10-24
1117,Mango,41,6.35,2025-01-01
1118,Pera,19,8.74,2024-07-19
1119,Uvilla,50,10.63,2026-01-15
1120,Piña,19,4.4,2024-08-17
1121,Mango,73,5.73,2025-09-14
1122,Mango,42,3.5,2025-02-06
1123,Uva,1,7.85,2024-10-10
1124,Naranja,68,7.57,2025-04-28
1125,Pera,31,9.33,2025-01-15
1126,Frutilla,15,5.63,2026-02-06
1127,Uvilla,57,5.05,2026-02-15
1128,Uvilla,84,8.79,2024-08-10
1129,Frutilla,33,13.69,2025-09-06
1130,Banano,49,13.6,2026-02-02
1131,Mango,22,0.52,2025-02-13
1132,Uva,85,13.82,2024-11-27
1133,Manzana,14,4.88,2024-09-09
1134,Frutilla,72,6.2,2025-05-05
1135,Naranja,70,1.93,2026-05-16
1136,Mango,17,5.38,2024-12-21
1137,Mango,11,9.92,2025-10-14
1138,Mango,56,12.66,2025-08-15
1139,Uvilla,75,14.03,2024-08-21
1140,Manzana,49,1.42,2025-07-28
1141,Piña,14,10.29,2025-06-11
1142,Uva,73,6.76,2025-06-20
1143,Banano,59,13.75,2025-10-21
1144,Frutilla,50,11.13,2025-04-13
1145,Banano,73,5.89,2024-12-05
1146,Manzana,57,4.55,2025-11-16
1147,Uvilla,54,8.61,2026-03-31
1148,Uvilla,72,2.77,2025-11-02
1149,Uvilla,33,5.08,2025-02-12
1150,Mango,48,2.61,2025-07-08
1151,Uva,78,13.2,2024-12-21
1152,Piña,33,14.01,2025-09-12
1153,Banano,30,14.64,2024-07-17
1154,Uvilla,99,1.95,2026-03-08
1155,Naranja,11,12.4,2026-01-04
1156,Piña,9,4.23,2025-07-02
1157,Manzana,41,6.1,2024-07-03
1158,Uvilla,31,4.08,2024-11-19
1159,Piña,20,13.91,2024-07-22
1160,Uvilla,67,12.32,2026-03-26
1161,Frutilla,11,1.16,2025-09-18
1162,Pera,88,2.88,2026-02-02
1163,Frutilla,90,2.89,2024-09-13
1164,Frutilla,53,1.61,2025-09-11
1165,Uvilla,83,10.91,2025-06-23
1166,Piña,60,2.12,2025-03-28
1167,Melón,93,14.0,2026-02-07
1168,Manzana,56,2.63,2024-06-14
1169,Banano,96,5.48,2024-12-18
1170,Pera,75,12.18,2025-10-26
1171,Mango,80,2.38,2026-02-17
1172,Mango,33,12.99,2025-08-01
1173,Piña,28,8.04,2025-11-07
1174,Mango,96,1.96,2025-04-25
1175,Naranja,29,10.91,2025-07-22
1176,Banano,38,8.19,2025-04-14
1177,Banano,17,13.18,2024-10-22
1178,Mango,98,13.17,2026-01-03
1179,Mango,27,7.6,2024-06-30
1180,Uva,54,5.14,2026-03-23
1181,Manzana,23,8.04,2024-10-18
1182,Naranja,77,14.44,2025-04-04
1183,Piña,12,0.83,2024-12-11
1184,Uva,75,8.37,2025-06-17
1185,Manzana,16,6.86,2025-03-24
1186,Uvilla,5,13.06,2024-11-13
1187,Mango,52,12.38,2025-08-24
1188,Manzana,48,3.3,2024-09-04
1189,Mango,55,6.83,2026-02-20
1190,Mango,60,9.9,2026-01-12
1191,Banano,9,12.53,2026-01-13
1192,Pera,82,6.93,2024-08-17
1193,Uva,53,13.41,2026-04-18
1194,Naranja,64,10.88,2024-08-05
1195,Naranja,64,3.01,2024-08-27
1196,Mango,20,14.96,2024-12-29
1197,Melón,23,12.69,2024-06-05
1198,Melón,56,13.21,2026-05-04
1199,Banano,17,7.81,2025-05-14
1200,Uva,78,6.13,2025-08-25
1201,Manzana,56,1.58,2024-07-19
1202,Banano,84,11.8,2024-05-30
1203,Uva,70,3.32,2026-03-19
1204,Melón,75,2.81,2025-04-16
1205,Melón,16,4.75,2025-07-01
1206,Naranja,94,9.42,2024-06-22
1207,Uvilla,35,7.04,2025-05-22
1208,Uvilla,91,9.72,2025-09-27
1209,Uvilla,9,4.83,2025-07-17
1210,Melón,24,11.36,2026-01-22
1211,Mango,50,3.32,2026-04-30
1212,Piña,72,6.26,2025-05-17
1213,Uvilla,7,12.93,2025-12-26
1214,Naranja,94,8.81,2024-06-26
1215,Uva,16,0.94,2025-10-15
1216,Pera,6,10.78,2025-05-14
1217,Pera,4,3.62,2025-01-11
1218,Banano,26,1.53,2024-06-04
1219,Frutilla,1,2.84,2024-06-30
1220,Uva,77,2.44,2025-02-25
1221,Uvilla,54,3.17,2024-11-16
1222,Frutilla,30,10.23,2024-09-29
1223,Piña,41,14.81,2025-12-27
1224,Manzana,52,9.66,2024-12-21
1225,Banano,82,7.08,2024-08-02
1226,Uvilla,21,3.64,2025-03-08
1227,Naranja,2,13.55,2024-05-27
1228,Piña,8,6.69,2026-03-07
1229,Pera,6,1.84,2025-07-03
1230,Banano,57,7.33,2025-02-06
1231,Frutilla,26,11.8,2026-01-03
1232,Manzana,55,12.34,2024-12-12
1233,Frutilla,2,12.99,2024-06-17
1234,Pera,53,9.49,2024-08-30
1235,Uva,45,8.84,2025-12-07
1236,Melón,48,14.31,2026-04-14
1237,Naranja,9,13.42,2024-11-12
1238,Mango,54,4.02,2025-03-26
1239,Manzana,3,4.21,2024-07-08
1240,Banano,64,2.69,2025-11-02
1241,Naranja,74,6.3,2025-07-10
1242,Frutilla,79,10.74,2025-12-09
1243,Mango,73,7.8,2025-06-14
1244,Naranja,48,6.63,2024-12-04
1245,Piña,36,1.13,2026-04-21
1246,Banano,16,10.82,2024-10-13
1247,Banano,41,13.68,2025-11-30
1248,Pera,44,9.58,2025-06-11
1249,Uvilla,30,10.07,2024-06-27
1250,Melón,6,13.95,2024-08-08
1251,Banano,65,12.7,2025-11-17
1252,Uva,4,5.68,2025-03-05
1253,Piña,62,4.06,2025-01-17
1254,Naranja,39,12.3,2024-09-07
1255,Piña,90,11.04,2024-08-28
1256,Pera,51,7.98,2024-10-11
1257,Melón,15,3.5,2024-12-15
1258,Mango,97,2.3,2024-10-11
1259,Manzana,38,9.87,2025-03-24
1260,Frutilla,48,2.35,2025-08-29
1261,Melón,58,6.49,2025-10-09
1262,Uvilla,25,9.99,2025-07-07
1263,Piña,51,6.09,2024-08-26
1264,Frutilla,20,14.39,2024-10-06
1265,Piña,83,13.57,2025-07-28
1266,Piña,1,3.81,2025-10-22
1267,Melón,85,6.21,2025-05-05
1268,Frutilla,76,4.22,2025-11-13
1269,Melón,42,3.14,2026-01-25
1270,Uva,95,5.09,2026-02-06
1271,Piña,54,5.99,2025-09-29
1272,Melón,96,5.33,2025-10-02
1273,Mango,66,6.68,2024-12-22
1274,Frutilla,54,8.95,2025-12-26
1275,Banano,99,2.57,2024-10-07
1276,Uva,41,9.07,2024-09-14
1277,Naranja,28,2.91,2025-10-19
1278,Mango,77,3.29,2025-02-17
1279,Uvilla,76,1.73,2025-01-27
1280,Pera,19,0.6,2025-03-21
1281,Piña,97,8.17,2026-01-14
1282,Uvilla,93,6.59,2024-10-22
1283,Manzana,16,4.23,2025-04-15
1284,Frutilla,47,7.76,2024-11-03
1285,Uvilla,67,3.54,2026-01-19
1286,Banano,17,1.42,2024-10-24
1287,Uva,89,3.03,2025-02-08
1288,Manzana,18,11.62,2025-08-04
1289,Naranja,97,12.82,2025-11-02
1290,Uva,98,5.9,2025-01-31
1291,Uva,16,8.43,2025-09-05
1292,Uvilla,88,10.76,2026-04-25
1293,Piña,19,6.74,2024-06-01
1294,Manzana,95,2.01,2026-03-21
1295,Mango,18,5.74,2024-06-07
1296,Uva,85,6.22,2025-10-04
1297,Banano,98,12.95,2025-10-21
1298,Naranja,60,1.77,2026-01-14
1299,Manzana,60,9.18,2026-01-11
1300,Pera,75,12.71,2026-02-10
1301,Naranja,17,5.59,2025-06-13
1302,Uvilla,80,5.89,2024-09-11
1303,Frutilla,90,12.34,2024-11-16
1304,Mango,78,4.09,2024-09-04
1305,Pera,20,12.56,2026-01-04
1306,Uvilla,41,13.28,2025-09-19
1307,Pera,8,5.51,2025-01-29
1308,Naranja,64,4.35,2024-10-18
1309,Manzana,72,8.26,2025-07-23
1310,Melón,39,5.17,2024-11-24
1311,Naranja,77,5.05,2024-07-05
1312,Uva,13,13.23,2026-03-03
1313,Piña,79,13.83,2024-09-02
1314,Frutilla,3,1.38,2025-06-16
1315,Mango,10,1.2,2025-11-19
1316,Mango,42,8.19,2026-03-07
1317,Pera,47,4.12,2026-04-18
1318,Melón,25,14.62,2024-12-31
1319,Uvilla,72,5.78,2025-01-25
1320,Uvilla,77,6.94,2024-10-04
1321,Banano,22,7.53,2025-12-29
1322,Banano,47,14.07,2026-03-10
1323,Uva,56,5.66,2025-01-03
1324,Uva,90,13.85,2026-03-27
1325,Manzana,90,6.32,2025-07-05
1326,Mango,29,4.02,2024-07-01
1327,Manzana,28,0.98,2024-06-08
1328,Naranja,21,7.91,2024-07-21
1329,Naranja,49,5.99,2026-01-15
1330,Uvilla,89,9.28,2025-06-15
1331,Naranja,26,3.0,2025-03-02
1332,Uvilla,22,13.56,2024-12-13
1333,Naranja,28,5.41,2024-10-23
1334,Banano,6,11.78,2026-05-14
1335,Naranja,59,8.71,2025-10-18
1336,Melón,79,2.87,2025-01-18
1337,Uvilla,60,4.63,2026-03-30
1338,Pera,15,8.13,2025-03-29
1339,Naranja,73,5.94,2026-05-03
1340,Pera,7,5.25,2024-08-09
1341,Mango,73,13.9,2025-11-15
1342,Manzana,13,4.59,2026-04-15
1343,Uvilla,55,11.9,2025-10-15
1344,Naranja,36,9.92,2026-02-11
1345,Frutilla,22,7.27,2025-08-18
1346,Melón,64,3.28,2024-08-30
1347,Banano,25,1.3,2025-06-23
1348,Piña,97,1.14,2025-03-04
1349,Melón,67,14.92,2024-11-15
1350,Banano,80,6.61,2026-05-05
1351,Manzana,81,8.77,2025-01-31
1352,Mango,86,5.23,2026-04-24
1353,Mango,43,4.49,2026-01-18
1354,Pera,61,2.4,2024-11-11
1355,Pera,95,2.74,2024-09-12
1356,Piña,50,8.9,2025-09-06
1357,Uva,88,11.22,2024-12-12
1358,Piña,63,14.0,2024-06-04
1359,Banano,22,6.27,2025-05-24
1360,Piña,54,1.3,2025-04-27
1361,Piña,29,8.09,2026-02-26
1362,Uva,47,5.98,2026-02-14
1363,Naranja,74,4.26,2024-06-24
1364,Mango,39,3.23,2025-12-23
1365,Naranja,54,4.48,2025-06-10
1366,Manzana,60,7.73,2025-01-31
1367,Uvilla,40,6.43,2026-03-14
1368,Pera,92,7.24,2026-03-22
1369,Melón,7,1.54,2025-11-16
1370,Uvilla,49,2.16,2025-11-01
1371,Uvilla,23,14.61,2024-09-10
1372,Frutilla,44,1.77,2025-12-12
1373,Uva,1,14.83,2025-05-23
1374,Naranja,98,11.52,2025-12-03
1375,Banano,40,8.74,2024-12-22
1376,Pera,13,10.75,2024-12-05
1377,Pera,28,10.02,2026-03-22
1378,Manzana,88,9.09,2025-11-23
1379,Banano,37,8.76,2025-12-31
1380,Pera,24,1.53,2025-09-09
1381,Banano,9,9.85,2026-02-12
1382,Uva,75,5.96,2025-04-02
1383,Melón,62,13.97,2025-01-13
1384,Melón,2,3.48,2026-02-04
1385,Mango,8,5.99,2025-06-29
1386,Uva,22,3.17,2025-02-15
1387,Banano,62,6.19,2026-04-10
1388,Frutilla,7,3.3,2025-10-24
1389,Banano,20,14.75,2025-07-17
1390,Banano,83,12.25,2025-04-24
1391,Uva,24,10.86,2026-04-11
1392,Manzana,95,8.51,2026-03-29
1393,Frutilla,58,11.8,2025-06-11
1394,Frutilla,27,5.23,2025-04-23
1395,Uvilla,89,3.12,2026-05-26
1396,Melón,69,8.09,2024-10-21
1397,Mango,68,2.75,2025-08-24
1398,Pera,15,2.76,2024-08-18
1399,Uvilla,75,5.81,2025-08-04
1400,Uva,28,2.76,2026-03-05
1401,Uva,1,14.52,2026-02-20
1402,Naranja,48,10.88,2024-08-18
